currency,event,raw_datetime_utc,applied_offset_min,release_utc,home_tz,home_local_hhmm,modal_home_local_hhmm,local_peak_offset_min,local_peak_ratio,local_prominent,instant_verified,void_reason
USD,Non-Farm Employment Change,2024.02.01 20:30,1020,2024-02-02T13:30:00Z,America/New_York,08:30,08:30,0,3.140350877,1,1,
USD,Non-Farm Employment Change,2024.03.07 20:30,1020,2024-03-08T13:30:00Z,America/New_York,08:30,08:30,0,3.569277108,1,1,
USD,Non-Farm Employment Change,2024.04.04 19:30,1020,2024-04-05T12:30:00Z,America/New_York,08:30,08:30,0,5.170731707,1,1,
USD,Non-Farm Employment Change,2024.05.02 19:30,1020,2024-05-03T12:30:00Z,America/New_York,08:30,08:30,90,2.841075795,1,0,local_peak_elsewhere
USD,Non-Farm Employment Change,2024.06.06 19:30,1020,2024-06-07T12:30:00Z,America/New_York,08:30,08:30,0,4.347740668,1,1,
USD,Non-Farm Employment Change,2024.07.04 19:30,1020,2024-07-05T12:30:00Z,America/New_York,08:30,08:30,0,4.160164271,1,1,
USD,Non-Farm Employment Change,2024.08.01 19:30,1020,2024-08-02T12:30:00Z,America/New_York,08:30,08:30,0,3.085314685,1,1,
USD,Non-Farm Employment Change,2024.09.05 19:30,1020,2024-09-06T12:30:00Z,America/New_York,08:30,08:30,0,2.620535714,1,1,
USD,Non-Farm Employment Change,2024.10.03 20:30,1020,2024-10-04T13:30:00Z,America/New_York,09:30,08:30,-60,3.311248074,1,0,home_clock_mismatch
USD,Non-Farm Employment Change,2024.10.31 20:30,1020,2024-11-01T13:30:00Z,America/New_York,09:30,08:30,-60,3.025682183,1,0,home_clock_mismatch
USD,Non-Farm Employment Change,2024.12.05 20:30,1020,2024-12-06T13:30:00Z,America/New_York,08:30,08:30,0,2.985987261,1,1,
USD,Non-Farm Employment Change,2025.01.09 20:30,1020,2025-01-10T13:30:00Z,America/New_York,08:30,08:30,0,2.826859046,1,1,
USD,Non-Farm Employment Change,2025.02.06 20:30,1020,2025-02-07T13:30:00Z,America/New_York,08:30,08:30,0,3.8544,1,1,
USD,Non-Farm Employment Change,2025.03.06 20:30,1020,2025-03-07T13:30:00Z,America/New_York,08:30,08:30,0,2.29258517,1,1,
USD,Non-Farm Employment Change,2025.04.03 19:30,1020,2025-04-04T12:30:00Z,America/New_York,08:30,08:30,0,1.450755287,0,1,
USD,Unemployment Rate,2018.01.04 20:30,1020,2018-01-05T13:30:00Z,America/New_York,08:30,08:30,0,7.006705784,1,1,
USD,Unemployment Rate,2018.02.01 20:30,1020,2018-02-02T13:30:00Z,America/New_York,08:30,08:30,0,4.43943347,1,1,
USD,Unemployment Rate,2018.03.08 20:30,1020,2018-03-09T13:30:00Z,America/New_York,08:30,08:30,0,5.586597452,1,1,
USD,Unemployment Rate,2018.04.05 19:30,1020,2018-04-06T12:30:00Z,America/New_York,08:30,08:30,0,5.710208031,1,1,
USD,Unemployment Rate,2018.05.03 19:30,1020,2018-05-04T12:30:00Z,America/New_York,08:30,08:30,0,4.70990023,1,1,
