currency,month,native_high_rows,candidate_primary_high_rows,usd_40_50_band,count_basis
CAD,2017-11,0,18,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2017-12,0,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2018-01,2,17,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2018-02,0,11,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2018-03,3,18,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2018-04,4,19,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2018-05,2,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2018-06,2,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2018-07,2,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2018-08,1,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2018-09,2,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2018-10,5,19,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
CAD,2018-11,1,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
