weekend_id,symbol,era,friday_close_utc,sunday_open_utc,friday_close,sunday_open,gap_raw,gap_pips,gap_dir,trade_side,atr_d1,gap_size_atr,high_5d,low_5d,range_5d,range_pos,range_bucket,is_conditioned,triggered,filled_by_timestop,filled_full_week,fill_time_utc,fill_elapsed_min,exit_reason,exit_time_utc,exit_price,mae_pips,mae_bp,gross_pnl_pips,gross_pnl_bp,spread_pips,net_pnl_pips,net_pnl_bp
2018-02-02_2018-02-04,USDJPY.DWX,IS,2018-02-02T21:50:00Z,2018-02-04T22:05:00Z,110.169,110.135,-0.034,-3.4,-1,LONG,0.944,0.036,110.482,108.411,2.071,0.8489,UPPER_THIRD,1,0,1,1,2018-02-04T22:05:00Z,0,FILL,2018-02-04T22:05:00Z,110.169,0,0,3.4,3.09,0.8,2.6,2.36
2018-02-09_2018-02-11,USDJPY.DWX,IS,2018-02-09T21:50:00Z,2018-02-11T22:05:00Z,108.801,108.838,0.037,3.7,1,SHORT,1.067,0.0347,110.289,108.045,2.244,0.3369,MIDDLE_THIRD,0,0,0,1,2018-02-11T23:05:00Z,60,STOP,2018-02-11T23:00:00Z,108.875,5.1,4.69,-3.7,-3.4,0.8,-4.5,-4.13
2018-02-16_2018-02-18,USDJPY.DWX,IS,2018-02-16T21:50:00Z,2018-02-18T22:05:00Z,106.286,106.311,0.025,2.5,1,SHORT,1.006,0.0248,108.889,105.55,3.339,0.2204,LOWER_THIRD,1,0,0,1,2018-02-18T22:55:00Z,50,STOP,2018-02-18T22:10:00Z,106.336,3.8,3.57,-2.5,-2.35,0.8,-3.3,-3.1
2018-02-23_2018-02-25,USDJPY.DWX,IS,2018-02-23T21:50:00Z,2018-02-25T22:05:00Z,106.854,107.005,0.151,15.1,1,SHORT,0.941,0.1605,107.902,106.092,1.81,0.421,MIDDLE_THIRD,0,0,1,1,2018-02-26T00:55:00Z,170,FILL,2018-02-26T00:55:00Z,106.854,13.1,12.24,15.1,14.11,0.8,14.3,13.36
2018-03-02_2018-03-04,USDJPY.DWX,IS,2018-03-02T21:50:00Z,2018-03-04T22:05:00Z,105.72,105.503,-0.217,-21.7,-1,LONG,0.926,0.2344,107.673,105.247,2.426,0.195,LOWER_THIRD,0,0,0,1,2018-03-05T14:25:00Z,980,TIMESTOP,2018-03-05T12:00:00Z,105.636,15.6,14.79,13.3,12.61,0.8,12.5,11.85
2018-03-09_2018-03-11,USDJPY.DWX,IS,2018-03-09T21:50:00Z,2018-03-11T21:05:00Z,106.803,106.676,-0.127,-12.7,-1,LONG,0.824,0.1541,107.049,105.347,1.702,0.8555,UPPER_THIRD,1,0,1,1,2018-03-11T21:30:00Z,25,FILL,2018-03-11T21:30:00Z,106.803,0,0,12.7,11.91,0.8,11.9,11.16
2018-03-16_2018-03-18,USDJPY.DWX,IS,2018-03-16T20:50:00Z,2018-03-18T21:05:00Z,106.008,105.915,-0.093,-9.3,-1,LONG,0.809,0.115,107.293,105.601,1.692,0.2405,LOWER_THIRD,0,0,1,1,2018-03-18T21:05:00Z,0,FILL,2018-03-18T21:05:00Z,106.008,0.3,0.28,9.3,8.78,0.8,8.5,8.03
2018-03-23_2018-03-25,USDJPY.DWX,IS,2018-03-23T20:50:00Z,2018-03-25T21:05:00Z,104.712,104.64,-0.072,-7.2,-1,LONG,0.72,0.1,106.64,104.638,2.002,0.037,LOWER_THIRD,0,0,1,1,2018-03-25T21:15:00Z,10,FILL,2018-03-25T21:15:00Z,104.712,0,0,7.2,6.88,0.8,6.4,6.12
2018-03-30_2018-04-01,USDJPY.DWX,IS,2018-03-30T20:50:00Z,2018-04-01T21:05:00Z,106.268,106.165,-0.103,-10.3,-1,LONG,0.78,0.132,107.01,104.627,2.383,0.6886,UPPER_THIRD,1,0,1,1,2018-04-01T21:55:00Z,50,FILL,2018-04-01T21:55:00Z,106.268,0,0,10.3,9.7,0.8,9.5,8.95
2018-04-06_2018-04-08,USDJPY.DWX,IS,2018-04-06T20:50:00Z,2018-04-08T21:05:00Z,106.939,106.939,0,0,0,LONG,0.803,0,107.492,105.657,1.835,0.6986,UPPER_THIRD,0,0,0,0,,,STOP,2018-04-08T21:05:00Z,106.939,0.7,0.65,0,0,0.8,-0.8,-0.75
