family,symbol,gate,distinct_fail_pairs
trend/momentum,XAUUSD.DWX,Q06,4
breakout,XNGUSD.DWX,Q04,4
breakout,GBPCHF.DWX,Q02,4
breakout,UK100.DWX,Q04,4
mean-reversion,CHFJPY.DWX,Q04,4
mean-reversion,NZDCAD.DWX,Q04,4
breakout,NZDUSD.DWX,Q04,4
oscillator/other,GBPUSD.DWX,Q05,4
oscillator/other,GBPCHF.DWX,Q04,4
mean-reversion,SP500.DWX,Q08,4
pullback,XAUUSD.DWX,Q04,4
oscillator/other,EURGBP.DWX,Q04,4
oscillator/other,NZDCAD.DWX,Q04,4
oscillator/other,NZDCHF.DWX,Q04,4
mean-reversion,WS30.DWX,Q03,4
oscillator/other,EURUSD.DWX,Q05,4
basket/statarb,UK100.DWX,Q04,4
mean-reversion,EURCAD.DWX,Q04,4
mean-reversion,EURNZD.DWX,Q04,4
pattern,GBPJPY.DWX,Q04,4
mean-reversion,GBPAUD.DWX,Q04,4
breakout,NDX.DWX,Q05,4
pattern,USDCAD.DWX,Q02,4
other,XAUUSD.DWX,Q03,4
trend/momentum,GBPUSD.DWX,Q05,4
mean-reversion,USDJPY.DWX,Q05,4
mean-reversion,NDX.DWX,Q05,4
session/ORB,NDX.DWX,Q05,4
oscillator/other,GBPAUD.DWX,Q04,4
breakout,XAUUSD.DWX,Q09_PORTFOLIO,4
oscillator/other,EURAUD.DWX,Q04,4
oscillator/other,XAUUSD.DWX,Q08,4
pullback,EURJPY.DWX,Q04,4
pattern,AUDUSD.DWX,Q04,4
other,AUDUSD.DWX,Q05,4
other,XAUUSD.DWX,Q07,4
trend/momentum,SP500.DWX,Q08,4
mean-reversion,AUDUSD.DWX,Q08,4
other,XAUUSD.DWX,Q06,4
other,GBPUSD.DWX,Q07,4
range/fade,USDCAD.DWX,Q04,4
grid/pyramid,USDCHF.DWX,Q04,4
grid/pyramid,AUDUSD.DWX,Q04,4
trend/momentum,XTIUSD.DWX,Q06,4
pullback,XAUUSD.DWX,Q02,3
mean-reversion,AUDCAD.DWX,Q02,3
mean-reversion,AUDCHF.DWX,Q02,3
mean-reversion,AUDJPY.DWX,Q02,3
mean-reversion,CADCHF.DWX,Q02,3
mean-reversion,CADJPY.DWX,Q02,3
mean-reversion,CHFJPY.DWX,Q02,3
mean-reversion,EURAUD.DWX,Q02,3
mean-reversion,EURCAD.DWX,Q02,3
mean-reversion,EURJPY.DWX,Q02,3
mean-reversion,EURNZD.DWX,Q02,3
mean-reversion,GBPAUD.DWX,Q02,3
mean-reversion,GBPCAD.DWX,Q02,3
mean-reversion,GBPNZD.DWX,Q02,3
mean-reversion,NZDCHF.DWX,Q02,3
mean-reversion,NZDJPY.DWX,Q02,3
breakout,AUDCHF.DWX,Q04,3
breakout,AUDNZD.DWX,Q04,3
mean-reversion,USDJPY.DWX,Q03,3
trend/momentum,NDX.DWX,Q03,3
other,NDX.DWX,Q07,3
pattern,GDAXI.DWX,Q04,3
session/ORB,UK100.DWX,Q02,3
basket/statarb,XAGUSD.DWX,Q02,3
pullback,EURJPY.DWX,Q02,3
oscillator/other,XAGUSD.DWX,Q02,3
breakout,NZDCHF.DWX,Q02,3
breakout,CADCHF.DWX,Q04,3
breakout,CADJPY.DWX,Q04,3
mean-reversion,GBPUSD.DWX,Q05,3
pullback,GDAXI.DWX,Q04,3
breakout,AUDCAD.DWX,Q04,3
breakout,CHFJPY.DWX,Q04,3
pullback,SP500.DWX,Q04,3
basket/statarb,XAUUSD.DWX,Q04,3
oscillator/other,AUDCHF.DWX,Q04,3
oscillator/other,EURCHF.DWX,Q04,3
oscillator/other,GBPCAD.DWX,Q04,3
oscillator/other,NZDJPY.DWX,Q04,3
mean-reversion,CADJPY.DWX,Q04,3
mean-reversion,EURGBP.DWX,Q04,3
breakout,EURGBP.DWX,Q04,3
session/ORB,WS30.DWX,Q04,3
basket/statarb,USDCHF.DWX,Q04,3
basket/statarb,GBPJPY.DWX,Q02,3
breakout,EURCAD.DWX,Q02,3
breakout,EURNZD.DWX,Q02,3
breakout,GBPCAD.DWX,Q02,3
breakout,NZDCAD.DWX,Q02,3
pullback,NZDUSD.DWX,Q02,3
breakout,EURAUD.DWX,Q02,3
breakout,NZDJPY.DWX,Q02,3
oscillator/other,EURJPY.DWX,Q02,3
mean-reversion,GBPNZD.DWX,Q04,3
session/ORB,EURGBP.DWX,Q04,3
other,EURUSD.DWX,Q03,3
pattern,GDAXI.DWX,Q02,3
pattern,NDX.DWX,Q02,3
breakout,EURAUD.DWX,Q04,3
trend/momentum,SP500.DWX,Q05,3
trend/momentum,XTIUSD.DWX,Q03,3
oscillator/other,CADJPY.DWX,Q04,3
session/ORB,XAUUSD.DWX,Q05,3
trend/momentum,NDX.DWX,Q06,3
mean-reversion,SP500.DWX,Q09_PORTFOLIO,3
oscillator/other,GBPNZD.DWX,Q04,3
trend/momentum,NDX.DWX,Q09_PORTFOLIO,3
oscillator/other,EURNZD.DWX,Q04,3
oscillator/other,EURCAD.DWX,Q04,3
oscillator/other,CHFJPY.DWX,Q04,3
other,CHFJPY.DWX,Q05,3
mean-reversion,USDJPY.DWX,Q08,3
oscillator/other,XNGUSD.DWX,Q02,3
pattern,AUDJPY.DWX,Q04,3
pattern,NZDUSD.DWX,Q04,3
pattern,USDCHF.DWX,Q04,3
other,EURUSD.DWX,Q07,3
breakout,XAUUSD.DWX,Q05,3
range/fade,UK100.DWX,Q02,3
session/ORB,EURJPY.DWX,Q04,3
trend/momentum,XTIUSD.DWX,Q08,3
pattern,USDCAD.DWX,Q04,3
range/fade,GBPJPY.DWX,Q04,3
session/ORB,EURUSD.DWX,Q05,3
range/fade,GBPUSD.DWX,Q05,3
trend/momentum,XAGUSD.DWX,Q05,3
mean-reversion,AUDUSD.DWX,Q05,3
other,GDAXI.DWX,Q07,3
breakout,USDJPY.DWX,Q08,3
range/fade,USDCHF.DWX,Q04,3
range/fade,NZDUSD.DWX,Q04,3
other,XTIUSD.DWX,Q09_PORTFOLIO,3
mean-reversion,XTIUSD.DWX,Q05,3
grid/pyramid,NDX.DWX,Q04,3
grid/pyramid,EURUSD.DWX,Q04,3
trend/momentum,NDX.DWX,Q09,3
oscillator/other,NDX.DWX,Q05,3
basket/statarb,CADCHF.DWX,Q02,2
basket/statarb,CADJPY.DWX,Q02,2
basket/statarb,CHFJPY.DWX,Q02,2
basket/statarb,AUDJPY.DWX,Q04,2
oscillator/other,XAUUSD.DWX,Q03,2
session/ORB,EURJPY.DWX,Q02,2
breakout,SP500.DWX,Q07,2
oscillator/other,SP500.DWX,Q05,2
pullback,GBPJPY.DWX,Q02,2
oscillator/other,CADCHF.DWX,Q02,2
breakout,GBPCHF.DWX,Q04,2
breakout,GBPNZD.DWX,Q04,2
breakout,NZDCHF.DWX,Q04,2
breakout,NZDCAD.DWX,Q04,2
pullback,NDX.DWX,Q05,2
breakout,GBPCAD.DWX,Q04,2
breakout,WS30.DWX,Q05,2
range/fade,WS30.DWX,Q04,2
oscillator/other,AUDNZD.DWX,Q04,2
oscillator/other,CADCHF.DWX,Q04,2
oscillator/other,XAGUSD.DWX,Q04,2
trend/momentum,GDAXI.DWX,Q08,2
basket/statarb,CHFJPY.DWX,Q04,2
breakout,EURCAD.DWX,Q04,2
breakout,NZDJPY.DWX,Q04,2
mean-reversion,NDX.DWX,Q03,2
other,USDJPY.DWX,Q06,2
basket/statarb,EURJPY.DWX,Q04,2
mean-reversion,UK100.DWX,Q03,2
basket/statarb,NZDJPY.DWX,Q02,2
basket/statarb,EURCHF.DWX,Q02,2
basket/statarb,USDCHF.DWX,Q02,2
breakout,GBPNZD.DWX,Q02,2
pullback,USDCHF.DWX,Q04,2
pullback,UK100.DWX,Q02,2
pullback,USDCHF.DWX,Q02,2
pullback,XTIUSD.DWX,Q02,2
oscillator/other,AUDNZD.DWX,Q02,2
breakout,GBPAUD.DWX,Q02,2
session/ORB,USDCAD.DWX,Q02,2
other,SP500.DWX,Q03,2
session/ORB,AUDJPY.DWX,Q04,2
basket/statarb,GBPJPY.DWX,Q04,2
pattern,UK100.DWX,Q02,2
pattern,SP500.DWX,Q02,2
breakout,AUDUSD.DWX,Q05,2
breakout,EURUSD.DWX,Q08,2
other,EURUSD.DWX,Q06,2
breakout,GBPAUD.DWX,Q04,2
mean-reversion,NDX.DWX,Q08,2
mean-reversion,NDX.DWX,Q09_PORTFOLIO,2
oscillator/other,WS30.DWX,Q03,2
mean-reversion,USDCAD.DWX,Q03,2
mean-reversion,SP500.DWX,Q05,2
other,SP500.DWX,Q06,2
breakout,NDX.DWX,Q06,2
range/fade,NDX.DWX,Q05,2
other,NDX.DWX,Q09_PORTFOLIO,2
range/fade,UK100.DWX,Q04,2
pullback,USDCAD.DWX,Q04,2
pullback,GBPJPY.DWX,Q04,2
trend/momentum,NZDUSD.DWX,Q05,2
oscillator/other,XAUUSD.DWX,Q09_PORTFOLIO,2
pullback,USDJPY.DWX,Q05,2
session/ORB,USDCAD.DWX,Q04,2
trend/momentum,USDJPY.DWX,Q09_PORTFOLIO,2
trend/momentum,GDAXI.DWX,Q07,2
breakout,GDAXI.DWX,Q08,2
other,XAGUSD.DWX,Q07,2
breakout,XNGUSD.DWX,Q05,2
breakout,XTIUSD.DWX,Q05,2
mean-reversion,XTIUSD.DWX,Q08,2
mean-reversion,WS30.DWX,Q07,2
mean-reversion,AUDUSD.DWX,Q06,2
